name,center,id,x,y
Fiji,"['163.8531646445823', '-17.31630942638265']",1,163.8531646445823,-17.31630942638265
Tanzania,"['34.75298985475595', '-6.257732428506092']",2,34.75298985475595,-6.257732428506092
W. Sahara,"['-12.13783111160779', '24.29117296020862']",3,-12.13783111160779,24.29117296020862
Canada,"['-98.14238137209708', '61.46907614534896']",4,-98.14238137209708,61.46907614534896
United States of America,"['-112.5994359115045', '45.70562800215178']",5,-112.5994359115045,45.70562800215178
Kazakhstan,"['67.2846109811001', '48.19166075218232']",6,67.2846109811001,48.19166075218232
Uzbekistan,"['63.20363952823182', '41.74860266465225']",7,63.20363952823182,41.74860266465225
Papua New Guinea,"['145.3175746278225', '-6.451644514630347']",8,145.3175746278225,-6.451644514630347
Indonesia,"['117.4234075622736', '-2.221737936520542']",9,117.4234075622736,-2.221737936520542
Argentina,"['-65.17536077114173', '-35.4468214894951']",10,-65.17536077114173,-35.4468214894951
Chile,"['-71.5206439451643', '-39.04701430994844']",11,-71.5206439451643,-39.04701430994844
Dem. Rep. Congo,"['23.58295583147908', '-2.850275711095667']",12,23.58295583147908,-2.850275711095667
Somalia,"['45.72670076723565', '4.752347756504953']",13,45.72670076723565,4.752347756504953
Kenya,"['37.79155528666139', '0.5959662521769523']",14,37.79155528666139,0.5959662521769523
Sudan,"['29.86260401225792', '15.99058500311672']",15,29.86260401225792,15.99058500311672
Chad,"['18.58132952533289', '15.32886739983968']",16,18.58132952533289,15.32886739983968
Haiti,"['-72.65801330535574', '18.90070069184334']",17,-72.65801330535574,18.90070069184334
Dominican Rep.,"['-70.46235845697531', '18.88448708798226']",18,-70.46235845697531,18.88448708798226
Russia,"['96.80331818290134', '61.961663494923']",19,96.80331818290134,61.961663494923
Bahamas,"['-77.92997080393516', '25.51549172533662']",20,-77.92997080393516,25.51549172533662
Falkland Is.,"['-59.42097279311021', '-51.71322176551185']",21,-59.42097279311021,-51.71322176551185
Norway,"['15.46811995520676', '69.15685630975351']",22,15.46811995520676,69.15685630975351
Greenland,"['-41.50018111492097', '74.77048769398986']",23,-41.50018111492097,74.77048769398986
Fr. S. Antarctic Lands,"['69.53158047042371', '-49.30645491167198']",24,69.53158047042371,-49.30645491167198
Timor-Leste,"['125.966300273684', '-8.767760362467003']",25,125.966300273684,-8.767760362467003
South Africa,"['25.04801387986168', '-28.94703325997911']",26,25.04801387986168,-28.94703325997911
Lesotho,"['28.17010529517049', '-29.62529049369201']",27,28.17010529517049,-29.62529049369201
Mexico,"['-102.5763495239869', '23.93537190224484']",28,-102.5763495239869,23.93537190224484
Uruguay,"['-56.00327866654847', '-32.78090436523082']",29,-56.00327866654847,-32.78090436523082
Brazil,"['-53.05434003576711', '-10.80677364349892']",30,-53.05434003576711,-10.80677364349892
Bolivia,"['-64.64140560603113', '-16.72898701530584']",31,-64.64140560603113,-16.72898701530584
Peru,"['-74.39180581684722', '-9.191562905134553']",32,-74.39180581684722,-9.191562905134553
Colombia,"['-73.07773208697478', '3.927213862709704']",33,-73.07773208697478,3.927213862709704
Panama,"['-80.10916483549376', '8.530019388864652']",34,-80.10916483549376,8.530019388864652
Costa Rica,"['-84.17542309600948', '9.965671127464528']",35,-84.17542309600948,9.965671127464528
Nicaragua,"['-85.02031850080252', '12.84819042803699']",36,-85.02031850080252,12.84819042803699
Honduras,"['-86.58996383801542', '14.82294708165293']",37,-86.58996383801542,14.82294708165293
El Salvador,"['-88.87290317032377', '13.7260916257942']",38,-88.87290317032377,13.7260916257942
Guatemala,"['-90.36945836053154', '15.69936061202691']",39,-90.36945836053154,15.69936061202691
Belize,"['-88.70342125299318', '17.19708991145155']",40,-88.70342125299318,17.19708991145155
Venezuela,"['-66.16382727830238', '7.162132267639002']",41,-66.16382727830238,7.162132267639002
Guyana,"['-58.97120310856251', '4.790225375174759']",42,-58.97120310856251,4.790225375174759
Suriname,"['-55.91145629952073', '4.120008031758887']",43,-55.91145629952073,4.120008031758887
France,"['-2.876696699270627', '42.46070432663372']",44,-2.876696699270627,42.46070432663372
Ecuador,"['-78.38416674608374', '-1.45477170554058']",45,-78.38416674608374,-1.45477170554058
Puerto Rico,"['-66.47922227695507', '18.2372245709719']",46,-66.47922227695507,18.2372245709719
Jamaica,"['-77.32425480164892', '18.13763612786844']",47,-77.32425480164892,18.13763612786844
Cuba,"['-78.96068490970256', '21.63175154102523']",48,-78.96068490970256,21.63175154102523
Zimbabwe,"['29.78854837189252', '-18.9069879478588']",49,29.78854837189252,-18.9069879478588
Botswana,"['23.77308146578943', '-22.09971137882641']",50,23.77308146578943,-22.09971137882641
Namibia,"['17.15616812619409', '-22.09977693173107']",51,17.15616812619409,-22.09977693173107
Senegal,"['-14.50980278585943', '14.35413998845202']",52,-14.50980278585943,14.35413998845202
Mali,"['-3.543294339453343', '17.26777206170071']",53,-3.543294339453343,17.26777206170071
Mauritania,"['-10.32639692523499', '20.20926720635376']",54,-10.32639692523499,20.20926720635376
Benin,"['2.337377553496156', '9.647430780663699']",55,2.337377553496156,9.647430780663699
Niger,"['9.324427099857923', '17.34555281474554']",56,9.324427099857923,17.34555281474554
Nigeria,"['7.995127754089786', '9.548318418209965']",57,7.995127754089786,9.548318418209965
Cameroon,"['12.61155154650177', '5.663095287992696']",58,12.61155154650177,5.663095287992696
Togo,"['0.9964039436703582', '8.439541954669616']",59,0.9964039436703582,8.439541954669616
Ghana,"['-1.236968555706399', '7.928651813099648']",60,-1.236968555706399,7.928651813099648
Côte d'Ivoire,"['-5.612043645225222', '7.553755007010492']",61,-5.612043645225222,7.553755007010492
Guinea,"['-11.06085374118546', '10.44827287727134']",62,-11.06085374118546,10.44827287727134
Guinea-Bissau,"['-15.11062375166788', '12.02270438232568']",63,-15.11062375166788,12.02270438232568
Liberia,"['-9.410836154371117', '6.431619862252993']",64,-9.410836154371117,6.431619862252993
Sierra Leone,"['-11.79525742855995', '8.53035372615305']",65,-11.79525742855995,8.53035372615305
Burkina Faso,"['-1.77653745205594', '12.31165049413671']",66,-1.77653745205594,12.31165049413671
Central African Rep.,"['20.37434729124391', '6.542778705921314']",67,20.37434729124391,6.542778705921314
Congo,"['15.13446176741353', '-0.8378010872252886']",68,15.13446176741353,-0.8378010872252886
Gabon,"['11.68775117490204', '-0.6470481398040288']",69,11.68775117490204,-0.6470481398040288
Eq. Guinea,"['10.36603132506403', '1.645864319960075']",70,10.36603132506403,1.645864319960075
Zambia,"['27.72759191876058', '-13.39506755352419']",71,27.72759191876058,-13.39506755352419
Malawi,"['34.19360532692237', '-13.17283499234192']",72,34.19360532692237,-13.17283499234192
Mozambique,"['35.47261597864435', '-17.23044897565968']",73,35.47261597864435,-17.23044897565968
eSwatini,"['31.39525590206532', '-26.48985528852001']",74,31.39525590206532,-26.48985528852001
Angola,"['17.47057255231345', '-12.24586903613319']",75,17.47057255231345,-12.24586903613319
Burundi,"['29.91389229542573', '-3.377391075355466']",76,29.91389229542573,-3.377391075355466
Israel,"['35.003851206429', '31.4849193900197']",77,35.003851206429,31.4849193900197
Lebanon,"['35.87098632001643', '33.91182720781994']",78,35.87098632001643,33.91182720781994
Madagascar,"['46.69117091471639', '-19.35611407782878']",79,46.69117091471639,-19.35611407782878
Palestine,"['35.27331962289024', '31.94113662241515']",80,35.27331962289024,31.94113662241515
Gambia,"['-15.43187280773084', '13.47533435870166']",81,-15.43187280773084,13.47533435870166
Tunisia,"['9.534716120695835', '34.17293903688238']",82,9.534716120695835,34.17293903688238
Algeria,"['2.598047791618344', '28.18548127865754']",83,2.598047791618344,28.18548127865754
Jordan,"['36.77945490632519', '31.24549058474842']",84,36.77945490632519,31.24549058474842
United Arab Emirates,"['54.20671476159633', '23.86863365334761']",85,54.20671476159633,23.86863365334761
Qatar,"['51.1835025789133', '25.32185097420669']",86,51.1835025789133,25.32185097420669
Kuwait,"['47.60009888762642', '29.30726663403356']",87,47.60009888762642,29.30726663403356
Iraq,"['43.75691096461423', '33.03682096372491']",88,43.75691096461423,33.03682096372491
Oman,"['56.09867281997542', '20.61117437422955']",89,56.09867281997542,20.61117437422955
Vanuatu,"['167.0737512682267', '-15.54267705755492']",90,167.0737512682267,-15.54267705755492
Cambodia,"['104.8760853252519', '12.68472862939351']",91,104.8760853252519,12.68472862939351
Thailand,"['101.0061335462611', '15.01697499141648']",92,101.0061335462611,15.01697499141648
Laos,"['103.7502598950446', '18.44497808903609']",93,103.7502598950446,18.44497808903609
Myanmar,"['96.50584094206161', '21.01699987377383']",94,96.50584094206161,21.01699987377383
Vietnam,"['106.2858407970519', '16.65793775325494']",95,106.2858407970519,16.65793775325494
North Korea,"['127.1650159088898', '40.14302033650109']",96,127.1650159088898,40.14302033650109
South Korea,"['127.8213171283307', '36.42759860415487']",97,127.8213171283307,36.42759860415487
Mongolia,"['102.9464062084663', '46.82368112626357']",98,102.9464062084663,46.82368112626357
India,"['79.59370376325381', '22.92500640740852']",99,79.59370376325381,22.92500640740852
Bangladesh,"['90.26792827719598', '23.83946179534406']",100,90.26792827719598,23.83946179534406
Bhutan,"['90.4724248062037', '27.42796864910203']",101,90.4724248062037,27.42796864910203
Nepal,"['84.01317367692529', '28.23944001904935']",102,84.01317367692529,28.23944001904935
Pakistan,"['69.41399806318127', '29.97346002554739']",103,69.41399806318127,29.97346002554739
Afghanistan,"['66.08669022192831', '33.85639928169076']",104,66.08669022192831,33.85639928169076
Tajikistan,"['71.03443504896113', '38.58308146421082']",105,71.03443504896113,38.58308146421082
Kyrgyzstan,"['74.62040481092558', '41.50689371318262']",106,74.62040481092558,41.50689371318262
Turkmenistan,"['59.27543026236141', '39.09124018017583']",107,59.27543026236141,39.09124018017583
Iran,"['54.28545149689143', '32.51891731762539']",108,54.28545149689143,32.51891731762539
Syria,"['38.54423941961137', '35.012614281129']",109,38.54423941961137,35.012614281129
Armenia,"['45.00029001101479', '40.21660761230143']",110,45.00029001101479,40.21660761230143
Sweden,"['16.59626584684802', '62.81148496808034']",111,16.59626584684802,62.81148496808034
Belarus,"['27.98135261544803', '53.50634479481114']",112,27.98135261544803,53.50634479481114
Ukraine,"['31.2291220702665', '49.14882260840351']",113,31.2291220702665,49.14882260840351
Poland,"['19.31101430844868', '52.14826021933187']",114,19.31101430844868,52.14826021933187
Austria,"['14.07615888433707', '47.6139487927463']",115,14.07615888433707,47.6139487927463
Hungary,"['19.35762862774592', '47.19995117195427']",116,19.35762862774592,47.19995117195427
Moldova,"['28.41048279080328', '47.20367642606752']",117,28.41048279080328,47.20367642606752
Romania,"['24.94325249463538', '45.857101035738']",118,24.94325249463538,45.857101035738
Lithuania,"['23.88064027584349', '55.28431948476607']",119,23.88064027584349,55.28431948476607
Latvia,"['24.83329614980344', '56.80717513427924']",120,24.83329614980344,56.80717513427924
Estonia,"['25.82472561302661', '58.64369542663091']",121,25.82472561302661,58.64369542663091
Germany,"['10.28848509274285', '51.13372269040778']",122,10.28848509274285,51.13372269040778
Bulgaria,"['25.19511095327711', '42.7531187620217']",123,25.19511095327711,42.7531187620217
Greece,"['22.71981344709505', '39.06671589971396']",124,22.71981344709505,39.06671589971396
Turkey,"['35.11690015093841', '39.06837194061471']",125,35.11690015093841,39.06837194061471
Albania,"['20.03242643144321', '41.14135330604879']",126,20.03242643144321,41.14135330604879
Croatia,"['16.56618977164553', '45.01623399593114']",127,16.56618977164553,45.01623399593114
Switzerland,"['8.118300613385486', '46.79173768366762']",128,8.118300613385486,46.79173768366762
Luxembourg,"['5.965223432343999', '49.76570507415103']",129,5.965223432343999,49.76570507415103
Belgium,"['4.580834113854935', '50.65244095902296']",130,4.580834113854935,50.65244095902296
Netherlands,"['5.512217100965399', '52.29870037444179']",131,5.512217100965399,52.29870037444179
Portugal,"['-8.055765588295687', '39.63404977497817']",132,-8.055765588295687,39.63404977497817
Spain,"['-3.617020602387374', '40.34865610622673']",133,-3.617020602387374,40.34865610622673
Ireland,"['-8.010236544877012', '53.18059120995006']",134,-8.010236544877012,53.18059120995006
New Caledonia,"['165.5344746008754', '-21.26135761252651']",135,165.5344746008754,-21.26135761252651
Solomon Is.,"['159.9666154474296', '-8.852497470848528']",136,159.9666154474296,-8.852497470848528
New Zealand,"['172.7019259440557', '-41.66257875715868']",137,172.7019259440557,-41.66257875715868
Australia,"['134.502775475366', '-25.73065477972608']",138,134.502775475366,-25.73065477972608
Sri Lanka,"['80.66723574931648', '7.700534417248105']",139,80.66723574931648,7.700534417248105
China,"['103.8836123006325', '36.55506653185869']",140,103.8836123006325,36.55506653185869
Taiwan,"['120.9748007374862', '23.74096497978494']",141,120.9748007374862,23.74096497978494
Italy,"['12.14078837223587', '42.75118305296427']",142,12.14078837223587,42.75118305296427
Denmark,"['9.876372937675002', '56.06393446179454']",143,9.876372937675002,56.06393446179454
United Kingdom,"['-2.853135395180554', '53.91477348053706']",144,-2.853135395180554,53.91477348053706
Iceland,"['-18.76102877083177', '65.07427633529105']",145,-18.76102877083177,65.07427633529105
Azerbaijan,"['47.55390955800605', '40.22069054766167']",146,47.55390955800605,40.22069054766167
Georgia,"['43.48154265409026', '42.16201501415301']",147,43.48154265409026,42.16201501415301
Philippines,"['122.9026723698868', '11.76379936229766']",148,122.9026723698868,11.76379936229766
Malaysia,"['109.6981484486297', '3.725588425773716']",149,109.6981484486297,3.725588425773716
Brunei,"['114.9151087739395', '4.690250542520635']",150,114.9151087739395,4.690250542520635
Slovenia,"['14.93815232079573', '46.12542205901039']",151,14.93815232079573,46.12542205901039
Finland,"['26.21176461029635', '64.50409403963651']",152,26.21176461029635,64.50409403963651
Slovakia,"['19.50765714743371', '48.7267113517275']",153,19.50765714743371,48.7267113517275
Czechia,"['15.33455810236581', '49.775245294369']",154,15.33455810236581,49.775245294369
Eritrea,"['38.67818692786484', '15.42727675141293']",155,38.67818692786484,15.42727675141293
Japan,"['138.0649621327078', '37.66311081170466']",156,138.0649621327078,37.66311081170466
Paraguay,"['-58.38738783350571', '-23.24804194629209']",157,-58.38738783350571,-23.24804194629209
Yemen,"['47.53504475854348', '15.913231950143']",158,47.53504475854348,15.913231950143
Saudi Arabia,"['44.51636376826477', '24.12328983910529']",159,44.51636376826477,24.12328983910529
Antarctica,"['20.57100056984264', '-80.49198288284343']",160,20.57100056984264,-80.49198288284343
N. Cyprus,"['33.5582859592249', '35.27395768125972']",161,33.5582859592249,35.27395768125972
Cyprus,"['33.03955380295407', '34.90706085094344']",162,33.03955380295407,34.90706085094344
Morocco,"['-8.420479544549693', '29.88539469830206']",163,-8.420479544549693,29.88539469830206
Egypt,"['29.84446151312441', '26.50661999974957']",164,29.84446151312441,26.50661999974957
Libya,"['17.97435277916035', '26.99746040702034']",165,17.97435277916035,26.99746040702034
Ethiopia,"['39.55125579293775', '8.653999188132575']",166,39.55125579293775,8.653999188132575
Djibouti,"['42.4980197360445', '11.77304439553393']",167,42.4980197360445,11.77304439553393
Somaliland,"['46.23074953490769', '9.757971805222988']",168,46.23074953490769,9.757971805222988
Uganda,"['32.35755031998686', '1.29548550350973']",169,32.35755031998686,1.29548550350973
Rwanda,"['29.91896392224289', '-2.013514465834135']",170,29.91896392224289,-2.013514465834135
Bosnia and Herz.,"['17.81688327039009', '44.1807677629747']",171,17.81688327039009,44.1807677629747
Macedonia,"['21.69790337528084', '41.60592964714007']",172,21.69790337528084,41.60592964714007
Serbia,"['20.81965192638258', '44.23303653365162']",173,20.81965192638258,44.23303653365162
Montenegro,"['19.2861817215929', '42.78903960655908']",174,19.2861817215929,42.78903960655908
Kosovo,"['20.89535572134223', '42.57936713181699']",175,20.89535572134223,42.57936713181699
Trinidad and Tobago,"['-61.33036691444967', '10.42823708920188']",176,-61.33036691444967,10.42823708920188
S. Sudan,"['30.19861758246191', '7.292890133516845']",177,30.19861758246191,7.292890133516845
